lap_number,timestamp,total_lap_time,Sector 1_time,Sector 1_avg_speed,Sector 2_time,Sector 2_avg_speed,Sector 3_time,Sector 3_avg_speed,Sector 4_time,Sector 4_avg_speed,collision_count,overall_score,is_obstacle_map,selected_lane
1,2025-11-13 16:44:00,24.920,3.668,6.56,7.332,4.98,6.440,5.24,7.480,8.97,0,40.13,False,N/A
2,2025-11-13 16:44:25,24.948,3.680,6.55,7.308,4.96,6.440,5.25,7.520,8.96,0,40.08,False,N/A
3,2025-11-13 16:44:50,24.941,3.680,6.55,7.312,4.96,6.440,5.24,7.509,8.97,0,40.10,False,N/A
4,2025-11-13 16:45:15,24.940,3.680,6.55,7.320,4.98,6.440,5.25,7.500,8.97,0,40.10,False,N/A
5,2025-11-13 16:45:40,24.931,3.680,6.52,7.320,4.97,6.440,5.24,7.491,8.98,0,40.11,False,N/A
6,2025-11-13 16:46:05,24.968,3.680,6.55,7.320,4.98,6.440,5.25,7.528,8.97,0,40.05,False,N/A
7,2025-11-13 16:46:30,24.941,3.680,6.51,7.320,4.98,6.440,5.24,7.501,8.99,0,40.09,False,N/A
8,2025-11-13 16:46:55,24.919,3.670,6.56,7.328,4.98,6.432,5.24,7.488,8.98,0,40.13,False,N/A
9,2025-11-13 16:47:20,24.932,3.680,6.54,7.320,4.97,6.440,5.25,7.492,8.97,0,40.11,False,N/A
10,2025-11-13 16:47:45,24.920,3.680,6.55,7.320,4.98,6.428,5.24,7.492,8.98,0,40.13,False,N/A
11,2025-11-13 16:48:10,24.920,3.680,6.55,7.320,4.97,6.429,5.24,7.491,8.97,0,40.13,False,N/A
12,2025-11-13 16:48:34,24.928,3.680,6.54,7.321,4.97,6.439,5.25,7.488,8.98,0,40.11,False,N/A
13,2025-11-13 16:48:59,24.932,3.680,6.55,7.321,4.98,6.431,5.24,7.500,8.97,0,40.11,False,N/A
14,2025-11-13 16:49:24,24.948,3.680,6.57,7.328,4.98,6.432,5.24,7.508,8.98,0,40.08,False,N/A
15,2025-11-13 16:49:49,24.951,3.680,6.54,7.321,4.98,6.431,5.24,7.520,8.96,0,40.08,False,N/A
16,2025-11-13 16:50:14,24.929,3.680,6.58,7.320,4.98,6.428,5.24,7.500,8.98,0,40.11,False,N/A
17,2025-11-13 16:50:39,24.932,3.680,6.51,7.320,4.98,6.432,5.24,7.500,8.99,0,40.11,False,N/A
18,2025-11-13 16:51:09,29.640,3.680,6.51,13.489,5.57,5.640,6.11,6.832,9.45,8,-46.26,False,N/A
19,2025-11-13 16:51:32,22.840,3.580,6.95,6.800,5.58,5.628,6.11,6.832,9.45,8,-36.22,False,N/A
20,2025-11-13 16:51:54,22.849,3.580,6.92,6.800,5.57,5.640,6.11,6.829,9.45,8,-36.23,False,N/A
21,2025-11-13 16:52:17,22.840,3.580,6.91,6.800,5.58,5.632,6.10,6.828,9.45,8,-36.22,False,N/A
22,2025-11-13 16:52:40,22.840,3.580,6.93,6.801,5.59,5.631,6.11,6.828,9.45,8,-36.22,False,N/A
